"nt","np","dg","est","rep","design","error_flag","ARproc","varinity","procnoise","se_ARproc","se_varinity","se_procnoise","Chi-square : Value","Chi-square : Degrees of Freedom","Chi-square : P-Value","CFI","TLI","H0 Loglikelihood","H1 Loglikelihood","Number of Free Parameters","Akaike (AIC)","Bayesian (BIC)","Sample-Size Adjusted BIC","RMSEA : Estimate","RMSEA : Low CI","RMSEA : High CI","RMSEA : Probability","SRMR"
"1",14,50,"LCM","AR",1,"complete",0,0.031493142,581.58984,269.48062,0.021031698,102.11375,8.9331989,10051.104,116,0,0,-0.58274347,-8346.1857,-3320.6339,3,16698.371,16707.196,16697.705,0.78215565,0.76924996,0.79513909,0,11.457108
"2",14,50,"LCM","AR",1,"CSD_1dayOL",0,0.667117,496.61313,354.45978,0.023214608,102.99115,16.113335,7449.6091,116,0,0,-0.2203246,-5281.1179,-1556.3133,3,10568.236,10577.061,10567.569,0.67199473,0.659082,0.68499755,0,29.909709
"3",14,50,"LCM","AR",1,"CSD_2dayOL",0,0.68295223,499.8432,351.25906,0.022342723,103.01709,16.234373,NA,116,NA,NA,NA,-5157.9131,NA,3,10321.826,10330.651,10321.16,NA,NA,NA,NA,NA
"4",14,50,"LCM","AR",1,"reference",0,0.080843002,427.16977,423.90439,0.12322816,103.27981,17.86392,7717.301,116,0,0,-0.2944127,-5755.475,-1896.8245,3,11516.95,11525.775,11516.283,0.68414941,0.67123768,0.69714968,0,17.48108
"5",14,50,"LCM","AR",1,"TCDM_5",0,0.68512046,501.84305,349.22827,0.022176221,102.9942,16.13522,NA,116,NA,NA,NA,-5155.5933,NA,3,10317.187,10326.012,10316.52,NA,NA,NA,NA,NA
"6",14,50,"LCM","AR",1,"random_5",0,0.69127226,506.33475,344.73694,0.021702694,102.95778,15.900517,NA,116,NA,NA,NA,-5154.8809,NA,3,10315.762,10324.587,10315.095,NA,NA,NA,NA,NA
"7",14,50,"LCM","AR",1,"TCDM_8",0,0.06217666,471.13956,379.93408,0.048846044,102.82659,15.024498,8194.1997,116,0,0,-0.3605967,-6289.2106,-2192.1108,3,12584.421,12593.246,12583.755,0.7052844,0.69237427,0.71828052,0,15.896657
"8",14,50,"LCM","AR",1,"random_8",0,0.062394395,469.23865,381.83765,0.050942868,102.84451,15.142303,8286.501,116,0,0,-0.3458487,-6261.6854,-2118.4349,3,12529.371,12538.196,12528.704,0.70930224,0.69639238,0.7222976,0,15.705532
"9",14,50,"LCM","AR",2,"complete",0,0.0212039,582.04602,269.02286,0.021034868,102.11207,8.9180336,10222.841,116,0,0,-0.58224229,-8344.6377,-3233.2172,3,16695.275,16704.1,16694.609,0.78888682,0.77598144,0.80186931,0,12.191965
"10",14,50,"LCM","AR",2,"CSD_1dayOL",0,0.66394466,494.17123,356.89938,0.023462724,103.00912,16.231277,7437.6322,116,0,0,-0.23100154,-5283.8362,-1565.0201,3,10573.672,10582.497,10573.006,0.67144577,0.65853299,0.68444871,0,32.056663
"11",14,50,"LCM","AR",2,"CSD_2dayOL",0,0.68008631,497.57416,353.47916,0.022551758,103.02283,16.343767,NA,116,NA,NA,NA,-5160.2832,NA,3,10326.566,10335.391,10325.9,NA,NA,NA,NA,NA
"12",14,50,"LCM","AR",2,"reference",0,0.55313218,471.26599,379.79446,0.033098791,103.03762,16.426214,7796.1212,116,0,0,-0.30383283,-5742.0597,-1843.9991,3,11490.119,11498.944,11489.453,0.68768733,0.67477589,0.70068688,0,24.584913
"13",14,50,"LCM","AR",2,"TCDM_5",0,0.68133759,498.46661,352.60681,0.022450892,103.02063,16.299938,NA,116,NA,NA,NA,-5159.3904,NA,3,10324.781,10333.606,10324.114,NA,NA,NA,NA,NA
"14",14,50,"LCM","AR",2,"random_5",0,0.69106382,504.99002,346.0777,0.021629104,102.97661,16.028,NA,116,NA,NA,NA,-5132.3331,NA,3,10270.666,10279.491,10270,NA,NA,NA,NA,NA
"15",14,50,"LCM","AR",2,"TCDM_8",0,0.044519842,471.33017,379.74228,0.046063863,102.82471,15.01351,8254.5389,116,0,0,-0.36718149,-6288.6598,-2161.3903,3,12583.32,12592.145,12582.653,0.70791353,0.69500357,0.72090914,0,17.307785
"16",14,50,"LCM","AR",2,"random_8",0,0.018621318,471.00815,380.09442,0.042248204,102.83436,15.030787,8385.6292,116,0,0,-0.3657465,-6284.6713,-2091.8566,3,12575.343,12584.167,12574.676,0.71359206,0.70068249,0.72658662,0,17.798182
"17",14,100,"LCM","AR",1,"complete",0,0.019281777,2322.0835,1046.7755,0.014840198,285.77002,24.536928,24607.976,116,0,0,-0.75707364,-19354.673,-7050.6856,3,38715.347,38726.251,38716.738,0.86836818,0.85924829,0.87752334,0,46.748815
"18",14,100,"LCM","AR",1,"CSD_1dayOL",0,0.66676903,1975.6212,1393.2843,0.016423382,288.22165,44.774925,17108.041,116,0,0,-0.2739805,-12181.91,-3627.8896,3,24369.82,24380.724,24371.212,0.72329383,0.71417271,0.7324572,0,121.42857
"19",14,100,"LCM","AR",1,"CSD_2dayOL",0,0.68324447,1991.1749,1377.7463,0.015773378,288.26273,45.021923,NA,116,NA,NA,NA,-11888.956,NA,3,23783.913,23794.817,23785.304,NA,NA,NA,NA,NA
