"nt","np","dg","est","rep","design","error_flag","rvar_y","mean_alph","mean_beta","var_alph","cov_ab","var_beta","se_rvar_y","se_mean_alph","se_mean_beta","se_var_alph","se_cov_ab","se_var_beta","Chi-square : Value","Chi-square : Degrees of Freedom","Chi-square : P-Value","CFI","TLI","H0 Loglikelihood","H1 Loglikelihood","Number of Free Parameters","Akaike (AIC)","Bayesian (BIC)","Sample-Size Adjusted BIC","RMSEA : Estimate","RMSEA : Low CI","RMSEA : High CI","RMSEA : Probability","SRMR"
"1",14,50,"LCM","LCM",1,"complete",0,1.3817269,0.99865395,0.022739824,0.21322243,-0.0053660921,0.098511741,0.079774037,0.10663242,0.045735165,0.1155403,0.03513686,0.020919997,138.90598,113,0.049436349,0.96579903,0.97245763,-1220.4906,-1151.0376,6,2452.9812,2464.4533,2445.6203,0.067713585,0.0036924022,0.10297724,0.2345822,0.075368355
"2",14,50,"LCM","LCM",1,"CSD_1dayOL",0,1.2761623,1.0438668,0.029134898,0.53927213,-0.049335517,0.08958187,0.13115723,0.2268005,0.055818539,0.45997447,0.12134539,0.031229764,70.09699,57,0.11411121,0.94042054,0.96341612,-480.85477,-445.80628,6,973.70954,985.18168,966.34868,0.06778964,0,0.11619435,0.29231582,0.17650284
"3",14,50,"LCM","LCM",1,"CSD_2dayOL",0,1.2568054,1.2107257,-0.0073774052,0.26901087,0.069485612,0.076631986,0.13051637,0.23256285,0.055891868,0.40191403,0.13950607,0.033215337,87.336662,59,0.0096803597,0.8866028,0.9288865,-453.68277,-410.01444,6,919.36554,930.83768,912.00468,0.098008409,0.049504758,0.13951669,0.051336299,0.20795662
"4",14,50,"LCM","LCM",1,"reference",0,1.3261523,0.96873659,0.027602043,0.23675342,0.0070442809,0.10135913,0.12354006,0.13568711,0.047625277,0.17842618,0.047675386,0.022638964,107.30532,76,0.010487033,0.89500722,0.92539987,-597.73378,-544.08112,6,1207.4676,1218.9397,1200.1067,0.090764765,0.045484981,0.12852613,0.064554389,0.23225234
"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",14,50,"LCM","LCM",1,"random_5",0,1.2383593,1.0138048,0.011332149,0.032204464,-0.047533788,0.10582736,0.13834868,0.1424655,0.049801461,0.18986516,0.051726293,0.024573958,NA,112,NA,NA,NA,-460.0026,NA,6,932.0052,943.47734,924.64434,NA,NA,NA,NA,NA
"7",14,50,"LCM","LCM",1,"TCDM_8",0,1.3861935,0.99495584,0.031818312,0.17515747,-0.0029289441,0.099858128,0.11318421,0.12045146,0.04664626,0.1517735,0.040657602,0.021769499,70.824189,77,0.67634549,1,1.0126827,-729.96279,-694.55069,6,1471.9256,1483.3977,1464.5647,0,0,0.066330764,0.87735091,0.11779176
"8",14,50,"LCM","LCM",1,"random_8",0,1.5614818,0.96266121,0.02472203,0.16620857,-0.0024486105,0.10117515,0.12683263,0.13587642,0.048055552,0.18602516,0.050101623,0.023225635,282.62027,113,1.110223e-16,0.65646133,0.72334497,-746.17499,-604.86486,6,1504.35,1515.8221,1496.9891,0.17326652,0.14811575,0.19865994,1.2637492e-07,0.19405412
"9",14,50,"LCM","LCM",2,"complete",0,1.1984177,0.86107385,-0.021252487,0.083219513,0.044812176,0.083001129,0.069190621,0.088474184,0.042016402,0.080273308,0.02640233,0.017656386,133.25211,113,0.093768827,0.97432525,0.97932388,-1164.9962,-1098.3702,6,2341.9925,2353.4646,2334.6316,0.059870222,0,0.097076903,0.34371394,0.11619268
"10",14,50,"LCM","LCM",2,"CSD_1dayOL",0,1.1803658,1.099857,-0.041981407,-0.17763449,0.0057899947,0.10227058,0.11998507,0.14246294,0.056360159,0.18999362,0.075127333,0.032244455,51.938337,57,0.66491389,1,1.0148918,-463.72048,-437.75131,6,939.44096,950.9131,932.0801,0,0,0.073251536,0.84858148,0.26789947
