"nt","np","dg","est","rep","design","error_flag","rvary","meanb1","inty","varb1","covb0b1","varb0","se_rvary","se_meanb1","se_inty","se_varb1","se_covb0b1","se_varb0","Chi-square : Value","Chi-square : Degrees of Freedom","Chi-square : P-Value","CFI","TLI","H0 Loglikelihood","H1 Loglikelihood","Number of Free Parameters","Akaike (AIC)","Bayesian (BIC)","Sample-Size Adjusted BIC","RMSEA : Estimate","RMSEA : Low CI","RMSEA : High CI","RMSEA : Probability","SRMR"
"1",14,50,"LCM","MLM",1,"complete",0,3.1096228,0.017193432,1.1464689,0.0010395625,-0.032414414,4.1881944,0.17498205,0.0292124,0.29700666,0.014540597,0.077148938,0.88277059,NA,NA,NA,NA,NA,-1465.3797,NA,6,2942.7594,2970.0659,2951.0147,NA,NA,NA,NA,NA
"2",14,50,"LCM","MLM",1,"CSD_1dayOL",0,1.5566874,0.011840089,1.0758765,0.0019736664,-0.028817078,4.7290938,0.15832,0.03790029,0.31706663,0.014285825,0.091416426,1.0080716,NA,NA,NA,NA,NA,-507.8201,NA,6,1027.6402,1049.1412,1030.1178,NA,NA,NA,NA,NA
"3",14,50,"LCM","MLM",1,"CSD_2dayOL",0,1.4547276,0.043046036,1.1013436,0.0011141815,0.02897281,5.606265,0.14942439,0.036652973,0.3436099,0.01429038,0.099511462,1.1812116,NA,NA,NA,NA,NA,-477.04954,NA,6,966.09909,987.22786,968.20734,NA,NA,NA,NA,NA
"4",14,50,"LCM","MLM",1,"reference",0,3.3575754,0.021517674,1.0898742,0.0050933776,0.062010703,4.4118953,0.30793661,0.047104361,0.3142523,0.025449866,0.11929867,0.99296213,NA,NA,NA,NA,NA,-713.05895,NA,6,1438.1179,1460.8024,1441.771,NA,NA,NA,NA,NA
"5",14,50,"LCM","MLM",1,"TCDM_5",0,4.4900159,-0.019311558,1.2229506,0.010858072,-0.17268495,3.974457,0.50030957,0.062982156,0.31240026,0.07122025,0.17412322,0.99359648,NA,NA,NA,NA,NA,-585.10035,NA,6,1182.2007,1203.3295,1184.3089,NA,NA,NA,NA,NA
"6",14,50,"LCM","MLM",1,"random_5",0,3.1083306,-0.036407806,1.0277737,0.0075499861,-0.1493885,4.1852541,0.3327283,0.052437834,0.31027001,0.049593145,0.13813942,0.96601675,NA,NA,NA,NA,NA,-547.92683,NA,6,1107.8537,1128.9824,1109.9619,NA,NA,NA,NA,NA
"7",14,50,"LCM","MLM",1,"TCDM_8",0,3.5637344,-0.026273638,1.2158859,0.0067142101,-0.13268959,4.1761981,0.28232831,0.043137767,0.30408824,0.024455847,0.1126508,0.92731017,NA,NA,NA,NA,NA,-880.86562,NA,6,1773.7312,1797.68,1778.6416,NA,NA,NA,NA,NA
"8",14,50,"LCM","MLM",1,"random_8",0,3.0939088,0.014399696,1.1344732,0.0025242432,-0.07050067,4.361524,0.24159783,0.040271506,0.30843168,0.028648941,0.10658935,0.9512347,NA,NA,NA,NA,NA,-856.45615,NA,6,1724.9123,1748.8611,1729.8227,NA,NA,NA,NA,NA
"9",14,50,"LCM","MLM",2,"complete",0,2.6188356,-0.05793752,0.73292894,0.0045783021,0.10065509,4.0750252,0.14962304,0.029143826,0.29212786,0.0098543547,0.065749151,0.85292199,NA,NA,NA,NA,NA,-1409.7965,NA,6,2831.593,2858.8995,2839.8483,NA,NA,NA,NA,NA
"10",14,50,"LCM","MLM",2,"CSD_1dayOL",0,1.5148404,0.023489886,0.76348952,0.013962114,-0.070042795,4.2181977,0.16022389,0.041434701,0.3006505,0.015952874,0.084860152,0.90423592,NA,NA,NA,NA,NA,-505.78929,NA,6,1023.5786,1045.0795,1026.0562,NA,NA,NA,NA,NA
